id;drug_name;drug_cost;drug_aavailable_date;drug_withdrawn_date;drug_description;generic_yn;drug_details
1;Home Loan Account;44674;2020-09-09;2020-09-09;Technician;Sleek Borders;Gorgeous plum
2;back up;58953;2020-09-09;2020-09-09;programming parse;SCSI;Coordinator Solutions Cambridgeshire
3;Tasty Metal Chicken Profit-focused haptic;23657;2020-09-09;2020-09-09;Row matrix Gorgeous Fresh Ball;bypass Ergonomic Steel Soap Chief;Automotive back up
4;Credit Card Account Gambia maroon;92807;2020-09-09;2020-09-09;architect indexing Refined;parse Handcrafted Soft Car;IB Profound Cotton
5;Hat Idaho;49794;2020-09-09;2020-09-09;content;online well-modulated;Direct Gorgeous Communications
6;Rubber Iceland Krona hard drive;60471;2020-09-09;2020-09-09;Fish;black Unbranded;e-tailers hacking Barbados Dollar
7;markets end-to-end;46147;2020-09-09;2020-09-09;Summit Pizza;Intelligent Rustic collaborative;value-added
8;Implementation;25789;2020-09-09;2020-09-09;users XML;RAM Checking Account connect;Florida hub
9;Outdoors methodologies Operations;15413;2020-09-09;2020-09-08;robust Squares circuit;1080p Central;Customer Outdoors Regional
10;Ergonomic Metal Cheese Cape Verde Escudo;64998;2020-09-09;2020-09-09;Handcrafted;Djibouti Soft Tasty Steel Hat;models
